BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
144,146.86,146.26,East Monroe,WB7REL,Central,Y,100,,N,,N,N,N,Y,,Y,433.65,N,38.5394,-112.0731,O A-911 100.0 L146.66,383222,1120423,Monroe Peak,SALINA
144,146.9,146.3,Moab,K7QEQ,Southeast,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,N,38.5739,-109.5492,OCaRb 88.5 L147.32,383426,1093257,Moab,MOAB
902,927.9375,902.9375,Richfield,K1ENT,Central,N,,,N,,N,N,N,N,,N,,N,38.6325,-112.0442,O,383757,1120239,Monroe Peak,MONROE
144,146.72,146.12,East Salina,WB7REL,Central,Y,131.8,,N,,N,N,N,Y,,Y,448.275,N,38.7739,-111.48,O A-911 100.0 L146.66,384626,1112848,Salina Canyon,SALINA
440,447.15,442.15,Salina,KD7YE,Central,N,,,N,,N,Y,N,N,,N,,Y,38.7739,-111.48,OX  Rb 52.525 ,384626,1112848,Salina Canyon,SALINA
144,147.1,147.7,East Holden,N7GGN,Central,Y,100,,N,,N,N,N,Y,,N,433.65,Y,39.0417,-112.1417,O X CA 100.0,390230,1120830,Beesting Peak,BEESTING
440,449.3,444.3,East of Holden,WB7REL,Central,Y,88.5,,N,,N,Y,N,N,,N,,Y,39.0417,-112.1417,OX 88.5 Rb(52.525),390230,1120830,Beesting Peak,FILLMORE
440,447.35,442.35,Gunnison,N7RVS,Central,Y,88.5,,N,,N,N,N,N,,Y,,N,39.0969,-111.8194,O 88.5 L SDARC,390549,1114910,N7RVS QTH,Gunnison
440,447.125,442.125,Cedar Mtn,K7YI,Price,Y,100,,N,,N,N,N,N,,Y,Cactus,Y,39.1714,-110.6192,C X 100.0 L(Cactus),391017,1103709,Cedar Mtn,CDRMTN
144,147.12,147.72,Castledale,K7JL,Price,Y,100,,N,,N,N,N,N,,Y,147.18,Y,39.1772,-110.6069,O X 100.0 L147.18,391038,1103625,Cedar Mtn.,CDRMTN
144,147.14,147.74,Castledale,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,39.1772,-110.6069,OXCaRb 88.5 L147.32,391038,1103625,Cedar Mtn,CDRMTN
440,448.075,443.075,Castledale,K2NWS,Price,N,,,N,,N,N,N,N,,N,,Y,39.1772,-110.6069,O D-Star,391038,1103625,Cedar Mtn.,CDRMTN
440,448.55,443.55,Castledale,WX7Y,Price,Y,88.5,,N,,N,Y,N,N,,N,,Y,39.1772,-110.6069,O X Rb(HF/VHF) 88.5,391038,1103625,Cedar Mtn,CDRMTN
144,147.38,147.98,Delta,KB7WQD,Southwest,Y,203.5,,N,,N,N,N,N,,N,,N,39.1881,-113.4083,O,391117,1132430,Delta,DELTA
440,449.25,444.25,High Top,WB7REL,Central,Y,131.8,,N,,N,N,N,N,,Y,145.29,Y,39.1889,-111.7181,O X 131.8 L145.29,391120,1114305,High Top,Fish Lake
440,447.85,442.85,Sterling,WB7REL,Central,Y,131.8,,N,,N,N,N,N,,N,,N,39.2017,-111.7283,O 131.8 2Mtr RB,391206,1114342,West of Sterling,STERLING
144,147.06,147.66,Castledale,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,39.21,-111.1417,OXCaRb 88.5 L147.32,391236,1110830,Horn Mtn,CEW
220,223.92,222.32,Ephriam,WX7Y,Central,Y,88.5,,N,,N,Y,N,N,,N,,Y,39.21,-111.1417,O X Rb 88.5,391236,1110830,Skyline Drive,SKYLINE
440,447.625,442.625,Castledale,K7YI,Price,Y,100,,N,,N,N,N,N,,Y,Cactus,Y,39.21,-111.1417,C X 100.0 L(Cactus),391236,1110830,Horn Mtn.,CEW
440,447.7,442.7,Castledale,WX7Y,Price,Y,123,,N,,N,N,N,Y,,N,,Y,39.21,-111.1417,O X Ca 123.0 IRLP3280,391236,1110830,Horn Mtn.,CEW
144,147.26,147.86,Hinckley,N7WPF,Southwest,N,,,N,,N,N,N,N,,N,,N,39.3167,-112.6667,O,391900,1124000,Hinckley,DELTA
440,449.75,444.75,Manti,N7YFZ,Central,Y,131.8,,N,,N,N,N,Y,,N,,N,39.3222,-111.7722,O CA 131.8,391920,1114620,Barton Peak,MANTI
144,145.29,144.69,Manti,WB7REL,Central,Y,131.8,,N,,N,N,N,Y,,Y,146.66,Y,39.3231,-111.7731,O A-911 131.8 L146.66,391923,1114623,Barton Peak,MANTI
440,448.275,443.275,West Manti,WB7REL,Central,Y,107.2,,N,,N,N,N,Y,,Y,433.65,N,39.3231,-111.7731,O A-911 107.2 L146.66,391923,1114623,Barton Pk.,MANTI
144,146.66,146.06,East Ephraim,W7DHH,Central,Y,100,,N,,N,N,N,Y,,Y,433.65,Y,39.3367,-111.4508,O X A911 100.0 L146.86,392012,1112703,Skyline Drive Horseshoe,SKYLINE
440,448.575,443.575,Horseshoe,WB7REL,Central,Y,131.8,,N,,N,N,N,N,,Y,223.92,Y,39.3367,-111.4508,O X L223.92,392012,1112703,Horseshoe,SKYLINE
440,448.975,443.975,Manti,WA7FFM,Central,N,,,N,,N,N,N,N,,Y,Cactus,Y,39.3367,-111.4508,C X L(Cactus),392012,1112703,Horse Shoe,CEN
144,145.27,144.67,Levan Peak,K7JL,Wasatch Front,Y,103.5,,N,,N,N,N,N,,Y,Intertie,Y,39.4919,-111.8286,O X E 100.0 L 147.120,392931,1114943,Levan Peak State site, 
144,147.2,147.8,Price,K7GX,Price,Y,88.5,,N,,N,N,N,N,,N,,N,39.6078,-110.8136,O,393628,1104849,Wood Hill,PRICE
440,448.3,443.3,Price,K7GX,Price,Y,88.5,,N,,N,N,N,N,,N,,N,39.6078,-110.8136,O,393628,1104849,Wood Hill,PRICE
440,449.35,444.35,Price,KA7LEG ,Price,N,,,N,,N,N,N,N,,N,,N,39.6078,-110.8136,O,393628,1104849,Wood Hill,PRICE
52,50.07,,Fairview,WA7X,Central,N,,,N,,N,N,N,N,,N,,N,39.6181,-111.3644,Beacon,393705,1112152,Fairview,MANTI
144,144.299,,Fairview,WA7X,Central,N,,,N,,N,N,N,N,,N,,N,39.6181,-111.3644,Beacon,393705,1112152,Fairview,MANTI
440,432.399,,Fairview,WA7X,Central,N,,,N,,N,N,N,N,,N,,N,39.6181,-111.3644,Beacon,393705,1112152,Fairview,MANTI
